candidate_id,rank,score,reasoning
CAND_0064326,38,0.3811,"Candidate brings 7.6y of software experience, currently Search Engineer at Sarvam AI. Familiar with vector search/retrieval (Milvus), representing a good technical match for the search team. Based in Gurgaon. Standard 45-day notice period."
CAND_0080766,39,0.3801,"Experienced Staff Machine Learning Engineer with 8.8y tenure, currently at Salesforce. Shows good skills alignment with experience in Search Backend, LoRA, Search & Discovery. Located in Coimbatore, open to relocation. Available relatively quickly (0-day notice)."
CAND_0040887,40,0.3779,"Solid background of 4.7y in engineering, working as Machine Learning Engineer at Netflix. Has relevant background in FAISS, LoRA, PEFT, matching the technical requirements of the role. Based in Toronto. Available relatively quickly (15-day notice)."
CAND_0020877,41,0.3757,"Candidate brings 5.1y of software experience, currently Applied ML Engineer at CRED. Familiar with vector search/retrieval (Elasticsearch), representing a good technical match for the search team. Located in Gurgaon, open to relocation. Standard 60-day notice period."
CAND_0042029,42,0.3733,"Experienced Senior Data Scientist with 6.5y tenure, currently at Flipkart. Shows good skills alignment with experience in NLP, RAG, Elasticsearch. Located in Delhi, open to relocation. Standard 45-day notice period."
CAND_0074225,43,0.3728,"Solid background of 4.3y in engineering, working as Machine Learning Engineer at Unacademy. Has relevant background in Recommendation Systems, Semantic Search, Elasticsearch, matching the technical requirements of the role. Located in Vizag, open to relocation. Standard 120-day notice period. Minor concerns include 120-day notice period."
CAND_0075574,44,0.3687,"Candidate brings 5.7y of software experience, currently Machine Learning Engineer at Haptik. Familiar with vector search/retrieval (Hugging Face Transformers), representing a good technical match for the search team. Located in Bangalore, open to relocation. Standard 60-day notice period."
CAND_0079064,45,0.3646,"Experienced Senior Data Scientist with 5.2y tenure, currently at Niramai. Shows good skills alignment with experience in OpenSearch, NLP, Semantic Search. Pune/Noida-based. Standard 120-day notice period. Minor concerns include 120-day notice period."
CAND_0079284,46,0.3623,"Solid background of 4.9y in engineering, working as Machine Learning Engineer at Google. Has relevant background in Recommendation Systems, QLoRA, Qdrant, matching the technical requirements of the role. Based in Hyderabad. Available relatively quickly (30-day notice)."
CAND_0084819,47,0.3613,"Candidate brings 4.5y of software experience, currently Search Engineer at Dream11. Familiar with vector search/retrieval (OpenSearch), representing a good technical match for the search team. Based in Indore. Standard 120-day notice period. Minor concerns include 120-day notice period."
CAND_0098846,48,0.3556,"Experienced AI Engineer with 7.6y tenure, currently at upGrad. Shows good skills alignment with experience in Hugging Face Transformers, PEFT, QLoRA. Located in Indore, open to relocation. Standard 45-day notice period."
CAND_0083307,49,0.3543,"Solid background of 7.8y in engineering, working as Search Engineer at CRED. Has relevant background in Embeddings, QLoRA, PEFT, matching the technical requirements of the role. Based in Vizag. Standard 120-day notice period. Minor concerns include 120-day notice period."
CAND_0072660,50,0.3416,"Candidate brings 7.1y of software experience, currently Machine Learning Engineer at Unacademy. Familiar with vector search/retrieval (OpenSearch), representing a good technical match for the search team. Based in Berlin. Available relatively quickly (30-day notice)."
CAND_0087364,51,0.3412,"Experienced Recommendation Systems Engineer with 4.9y tenure, currently at Glance. Shows good skills alignment with experience in Qdrant, Milvus, Pinecone. Based in Gurgaon. Available relatively quickly (30-day notice)."
CAND_0077285,52,0.3403,"Solid background of 5.5y in engineering, working as Recommendation Systems Engineer at Nykaa. Has relevant background in LoRA, Pinecone, Sentence Transformers, matching the technical requirements of the role. Based in Ahmedabad. Standard 60-day notice period."
CAND_0051004,53,0.3371,"Candidate brings 4.7y of software experience, currently Senior Data Scientist at CRED. Familiar with vector search/retrieval (Qdrant), representing a good technical match for the search team. Located in Delhi, open to relocation. Available relatively quickly (15-day notice)."
CAND_0075439,54,0.3176,"Experienced Machine Learning Engineer with 4.3y tenure, currently at Flipkart. Shows good skills alignment with experience in LoRA, Elasticsearch, OpenSearch. Based in Vizag. Available relatively quickly (30-day notice)."
CAND_0027691,55,0.3167,"Solid background of 6.5y in engineering, working as NLP Engineer at Haptik. Has relevant background in LoRA, PEFT, Recommendation Systems, matching the technical requirements of the role. Pune/Noida-based. Available relatively quickly (15-day notice)."
CAND_0078492,56,0.3068,"Candidate brings 5.1y of software experience, currently Recommendation Systems Engineer at Verloop.io. Familiar with vector search/retrieval (FAISS), representing a good technical match for the search team. Located in Kochi, open to relocation. Available relatively quickly (30-day notice)."
CAND_0030468,57,0.2926,"Experienced Senior Applied Scientist with 5.4y tenure, currently at Swiggy. Shows good skills alignment with experience in Information Retrieval Systems, Search & Discovery, Ranking Systems. Located in Indore, open to relocation. Standard 45-day notice period."
CAND_0086022,58,0.2903,"Solid background of 5.3y in engineering, working as Senior Applied Scientist at Sarvam AI. Has relevant background in Vector Search, Recommendation Systems, Fine-tuning LLMs, matching the technical requirements of the role. Located in Kolkata, open to relocation. Available relatively quickly (0-day notice)."
CAND_0040117,59,0.2849,"Candidate brings 6.5y of software experience, currently Recommendation Systems Engineer at PhonePe. Familiar with vector search/retrieval (FAISS), representing a good technical match for the search team. Based in Vizag. Available relatively quickly (15-day notice)."
CAND_0078002,60,0.2844,"Experienced Machine Learning Engineer with 6.3y tenure, currently at Meta. Shows good skills alignment with experience in NLP, Hugging Face Transformers, Weaviate. Based in Coimbatore. Standard 60-day notice period."
CAND_0010685,61,0.2784,"Solid background of 6.7y in engineering, working as NLP Engineer at Rephrase.ai. Has relevant background in Information Retrieval, Elasticsearch, RAG, matching the technical requirements of the role. Based in Kolkata. Available relatively quickly (30-day notice)."
CAND_0054123,62,0.2768,"Candidate brings 4.7y of software experience, currently Applied ML Engineer at Meta. Familiar with vector search/retrieval (Weaviate), representing a good technical match for the search team. Based in Gurgaon. Standard 60-day notice period."
CAND_0024620,63,0.2753,"Experienced AI Engineer with 5.9y tenure, currently at PharmEasy. Shows good skills alignment with experience in Semantic Search, Information Retrieval, PEFT. Located in New York, open to relocation. Standard 45-day notice period."
CAND_0008239,64,0.275,"Solid background of 4.0y in engineering, working as AI Engineer at Apple. Has relevant background in Milvus, Semantic Search, Elasticsearch, matching the technical requirements of the role. Located in Jaipur, open to relocation. Available relatively quickly (15-day notice)."
CAND_0037944,65,0.2722,"Candidate brings 4.9y of software experience, currently Senior Data Scientist at Vedantu. Familiar with vector search/retrieval (OpenSearch), representing a good technical match for the search team. Based in Jaipur. Available relatively quickly (30-day notice)."
CAND_0039521,66,0.2697,"Experienced Search Engineer with 3.0y tenure, currently at Salesforce. Shows good skills alignment with experience in Hugging Face Transformers, PEFT, Weaviate. Based in Coimbatore. Available relatively quickly (30-day notice)."
CAND_0028793,67,0.2647,"Solid background of 7.2y in engineering, working as Search Engineer at Google. Has relevant background in Embeddings, LoRA, Information Retrieval, matching the technical requirements of the role. Located in Trivandrum, open to relocation. Standard 120-day notice period. Minor concerns include 120-day notice period."
CAND_0095528,68,0.2591,"Candidate brings 5.3y of software experience, currently Senior Data Scientist at Netflix. Familiar with vector search/retrieval (OpenSearch), representing a good technical match for the search team. Based in Indore. Standard 45-day notice period."
CAND_0043228,69,0.2534,"Experienced Applied ML Engineer with 6.8y tenure, currently at Zoho. Shows good skills alignment with experience in NLP, Hugging Face Transformers, Vector Search. Based in Chennai. Available relatively quickly (30-day notice)."
CAND_0036184,70,0.249,"Solid background of 6.0y in engineering, working as Recommendation Systems Engineer at CRED. Has relevant background in QLoRA, FAISS, Hugging Face Transformers, matching the technical requirements of the role. Based in Trivandrum. Available relatively quickly (30-day notice)."
CAND_0052328,71,0.2475,"Candidate brings 6.5y of software experience, currently Recommendation Systems Engineer at Amazon. Familiar with vector search/retrieval (OpenSearch), representing a good technical match for the search team. Pune/Noida-based. Available relatively quickly (30-day notice)."
CAND_0057563,72,0.2465,"Experienced NLP Engineer with 6.8y tenure, currently at Locobuzz. Shows good skills alignment with experience in RAG, Elasticsearch, OpenSearch. Located in Indore, open to relocation. Standard 60-day notice period."
CAND_0044222,73,0.2454,"Solid background of 7.7y in engineering, working as AI Engineer at PolicyBazaar. Has relevant background in Vector Search, OpenSearch, Qdrant, matching the technical requirements of the role. Based in Vizag. Standard 60-day notice period."
CAND_0074735,74,0.2448,"Candidate brings 5.5y of software experience, currently Applied ML Engineer at Rephrase.ai. Familiar with vector search/retrieval (Weaviate), representing a good technical match for the search team. Based in Chandigarh. Standard 90-day notice period. Minor concerns include 90-day notice period."
CAND_0053591,75,0.2383,"Experienced AI Engineer with 5.3y tenure, currently at Ola. Shows good skills alignment with experience in Embeddings, Milvus, OpenSearch. Based in Toronto. Standard 60-day notice period."
CAND_0030953,76,0.2367,"Marginal fit with 7.8y of experience, currently working as Search Engineer at Nykaa. Technical skills in Qdrant, Hugging Face Transformers, Weaviate do not fully align with the retrieval focus of the JD. Lacks direct product or search engineering experience. Located in Chennai. Response rate is 63%."
CAND_0029367,77,0.2358,"Lighter alignment on search specific skills, currently Senior Data Scientist at Rephrase.ai (5.7y exp). Shows basic familiarity with vector search/retrieval (FAISS) but lacks hands-on scale/retrieval experience. Significant concerns: 90-day notice period. Located in Bangalore. Response rate is 77%."
CAND_0081852,78,0.2339,"Adjacent profile at rank 78 with 5.9y experience as Senior Data Scientist at Mad Street Den. Brings limited exposure to Semantic Search, Milvus, Weaviate, representing a skills gap. Lacks direct product or search engineering experience. Located in Delhi. Response rate is 44%."
CAND_0015578,79,0.2312,"Marginal fit with 5.4y of experience, currently working as AI Engineer at Zoho. Technical skills in Embeddings, NLP, Sentence Transformers do not fully align with the retrieval focus of the JD. Significant concerns: 90-day notice period. Located in Delhi. Response rate is 65%."
CAND_0020350,80,0.2312,"Lighter alignment on search specific skills, currently AI Engineer at Zoho (5.8y exp). Shows basic familiarity with vector search/retrieval (FAISS) but lacks hands-on scale/retrieval experience. Lacks direct product or search engineering experience. Located in Jaipur. Response rate is 58%."
CAND_0046525,81,0.231,"Adjacent profile at rank 81 with 6.1y experience as Senior Machine Learning Engineer at Genpact AI. Brings limited exposure to Elasticsearch, Information Retrieval, LLMs, representing a skills gap. Lacks direct product or search engineering experience. Located in hub. Response rate is 88%."
CAND_0037980,82,0.2291,"Marginal fit with 9.0y of experience, currently working as Senior Applied Scientist at Niramai. Technical skills in LoRA, Search Infrastructure, NLP do not fully align with the retrieval focus of the JD. Lacks direct product or search engineering experience. Located in Kolkata. Response rate is 63%."
CAND_0075249,83,0.2267,"Lighter alignment on search specific skills, currently Applied ML Engineer at Zomato (6.2y exp). Shows basic familiarity with vector search/retrieval (Sentence Transformers) but lacks hands-on scale/retrieval experience. Lacks direct product or search engineering experience. Located in Ahmedabad. Response rate is 82%."
CAND_0058688,84,0.2265,"Adjacent profile at rank 84 with 6.7y experience as AI Engineer at Vedantu. Brings limited exposure to Embeddings, Information Retrieval, Milvus, representing a skills gap. Lacks direct product or search engineering experience. Located in Berlin. Response rate is 74%."
CAND_0027801,85,0.2236,"Marginal fit with 7.4y of experience, currently working as NLP Engineer at InMobi. Technical skills in FAISS, Milvus, QLoRA do not fully align with the retrieval focus of the JD. Significant concerns: 120-day notice period. Located in Hyderabad. Response rate is 65%."
CAND_0081053,86,0.2209,"Lighter alignment on search specific skills, currently NLP Engineer at Glance (5.4y exp). Shows basic familiarity with vector search/retrieval (Qdrant) but lacks hands-on scale/retrieval experience. Significant concerns: 90-day notice period. Located in Chandigarh. Response rate is 83%."
CAND_0066999,87,0.2204,"Adjacent profile at rank 87 with 5.9y experience as Recommendation Systems Engineer at Microsoft. Brings limited exposure to OpenSearch, FAISS, LLMs, representing a skills gap. Lacks direct product or search engineering experience. Located in Delhi. Response rate is 63%."
CAND_0092245,88,0.2179,"Marginal fit with 4.1y of experience, currently working as Senior Data Scientist at Ola. Technical skills in Embeddings, RAG, Hugging Face Transformers do not fully align with the retrieval focus of the JD. Lacks direct product or search engineering experience. Located in Coimbatore. Response rate is 50%."
CAND_0096142,89,0.2151,"Lighter alignment on search specific skills, currently Applied ML Engineer at upGrad (5.0y exp). Shows basic familiarity with vector search/retrieval (Weaviate) but lacks hands-on scale/retrieval experience. Significant concerns: 120-day notice period. Located in Hyderabad. Response rate is 84%."
CAND_0001610,90,0.2149,"Adjacent profile at rank 90 with 3.0y experience as Machine Learning Engineer at Dream11. Brings limited exposure to Pinecone, Fine-tuning LLMs, Milvus, representing a skills gap. Significant concerns: 90-day notice period. Located in Trivandrum. Response rate is 57%."
CAND_0010257,91,0.2125,"Marginal fit with 6.5y of experience, currently working as Senior Data Scientist at Google. Technical skills in Milvus, OpenSearch, Qdrant do not fully align with the retrieval focus of the JD. Significant concerns: 120-day notice period. Located in hub. Response rate is 72%."
CAND_0007460,92,0.2098,"Lighter alignment on search specific skills, currently AI Engineer at Salesforce (4.7y exp). Shows basic familiarity with vector search/retrieval (Weaviate) but lacks hands-on scale/retrieval experience. Significant concerns: 120-day notice period. Located in hub. Response rate is 48%."
CAND_0014440,93,0.2089,"Adjacent profile at rank 93 with 6.4y experience as Recommendation Systems Engineer at CRED. Brings limited exposure to Elasticsearch, Milvus, FAISS, representing a skills gap. Lacks direct product or search engineering experience. Located in Chennai. Response rate is 64%."
CAND_0076163,94,0.2052,"Marginal fit with 6.9y of experience, currently working as NLP Engineer at Ola. Technical skills in Weaviate, Semantic Search, Sentence Transformers do not fully align with the retrieval focus of the JD. Lacks direct product or search engineering experience. Located in Chandigarh. Response rate is 84%."
CAND_0039383,95,0.1991,"Lighter alignment on search specific skills, currently Applied ML Engineer at Meesho (7.1y exp). Shows basic familiarity with vector search/retrieval (FAISS) but lacks hands-on scale/retrieval experience. Significant concerns: 90-day notice period. Located in Gurgaon. Response rate is 61%."
CAND_0041568,96,0.1963,"Adjacent profile at rank 96 with 5.2y experience as Search Engineer at Haptik. Brings limited exposure to PEFT, Weaviate, Vector Search, representing a skills gap. Significant concerns: 90-day notice period. Located in Sydney. Response rate is 52%."
CAND_0087630,97,0.1895,"Marginal fit with 7.2y of experience, currently working as AI Engineer at Vedantu. Technical skills in Elasticsearch, NLP, QLoRA do not fully align with the retrieval focus of the JD. Lacks direct product or search engineering experience. Located in Gurgaon. Response rate is 45%."
CAND_0053695,98,0.1881,"Lighter alignment on search specific skills, currently Recommendation Systems Engineer at Meesho (5.8y exp). Shows basic familiarity with vector search/retrieval (Pinecone) but lacks hands-on scale/retrieval experience. Lacks direct product or search engineering experience. Located in Bhubaneswar. Response rate is 60%."
CAND_0008425,99,0.188,"Adjacent profile at rank 99 with 7.8y experience as Senior NLP Engineer at Ola. Brings limited exposure to Qdrant, Sentence Transformers, NLP, representing a skills gap. Significant concerns: 90-day notice period. Located in Kolkata. Response rate is 66%."
CAND_0065786,100,0.1862,"Marginal fit with 4.9y of experience, currently working as AI Specialist at Swiggy. Technical skills in LoRA, Semantic Search, Pinecone do not fully align with the retrieval focus of the JD. Lacks direct product or search engineering experience. Located in Indore. Response rate is 89%."
